code,name,level,group_code,group_name,qualification
"18.02.2011","Технология пиротехнических составов и изделий","college","18.00.00","ХИМИЧЕСКИЕ ТЕХНОЛОГИИ","Техник-технолог; Старший техник-технолог"
"18.02.2012","Технология аналитического контроля химических соединений","college","18.00.00","ХИМИЧЕСКИЕ ТЕХНОЛОГИИ","Техник"
"18.02.2013","Технология производства изделий из полимерных композитов","college","18.00.00","ХИМИЧЕСКИЕ ТЕХНОЛОГИИ","Техник-технолог"
"19.02.2001","Биохимическое производство","college","19.00.00","ПРОМЫШЛЕННАЯ ЭКОЛОГИЯ И БИОТЕХНОЛОГИИ","Техник-технолог; Специалист биохимического производства"
"19.02.2002","Технология хранения и переработки зерна","college","19.00.00","ПРОМЫШЛЕННАЯ ЭКОЛОГИЯ И БИОТЕХНОЛОГИИ","Техник-технолог; Старший техник-технолог"
"19.02.2003","Технология хлеба, кондитерских и макаронных изделий","college","19.00.00","ПРОМЫШЛЕННАЯ ЭКОЛОГИЯ И БИОТЕХНОЛОГИИ","Техник-технолог; Старший техник-технолог"
"19.02.2004","Технология сахаристых продуктов","college","19.00.00","ПРОМЫШЛЕННАЯ ЭКОЛОГИЯ И БИОТЕХНОЛОГИИ","Техник-технолог; Старший техник-технолог"
"19.02.2005","Технология бродильных производств и виноделие","college","19.00.00","ПРОМЫШЛЕННАЯ ЭКОЛОГИЯ И БИОТЕХНОЛОГИИ","Техник-технолог; Старший техник-технолог"
"19.02.2006","Технология консервов и пищеконцентратов","college","19.00.00","ПРОМЫШЛЕННАЯ ЭКОЛОГИЯ И БИОТЕХНОЛОГИИ","Техник-технолог; Старший техник-технолог"
"19.02.2007","Технология молока и молочных продуктов","college","19.00.00","ПРОМЫШЛЕННАЯ ЭКОЛОГИЯ И БИОТЕХНОЛОГИИ","Техник-технолог; Старший техник-технолог"
"19.02.2008","Технология мяса и мясных продуктов","college","19.00.00","ПРОМЫШЛЕННАЯ ЭКОЛОГИЯ И БИОТЕХНОЛОГИИ","Техник-технолог; Старший техник-технолог"
"19.02.2009","Технология жиров и жирозаменителей","college","19.00.00","ПРОМЫШЛЕННАЯ ЭКОЛОГИЯ И БИОТЕХНОЛОГИИ","Техник-технолог; Старший техник-технолог"
"19.02.2010","Технология продукции общественного питания","college","19.00.00","ПРОМЫШЛЕННАЯ ЭКОЛОГИЯ И БИОТЕХНОЛОГИИ","Техник-технолог; Старший техник-технолог"
"20.02.2001","Рациональное использование природохозяйственных комплексов","college","20.00.00","ТЕХНОСФЕРНАЯ БЕЗОПАСНОСТЬ И ПРИРОДООБУСТРОЙСТВО","Техник-эколог; Специалист по охране окружающей среды"
"20.02.2002","Защита в чрезвычайных ситуациях","college","20.00.00","ТЕХНОСФЕРНАЯ БЕЗОПАСНОСТЬ И ПРИРОДООБУСТРОЙСТВО","Техник-спасатель; Старший техник-спасатель"
"20.02.2003","Природоохранное обустройство территорий","college","20.00.00","ТЕХНОСФЕРНАЯ БЕЗОПАСНОСТЬ И ПРИРОДООБУСТРОЙСТВО","Техник; Старший техник"
