code,name,level,group_code,group_name
"16.03.02","Высокотехнологические плазменные и энергетические установки","bachelor","16.00.00","ФИЗИКО-ТЕХНИЧЕСКИЕ НАУКИ И ТЕХНОЛОГИИ"
"16.03.03","Холодильная, криогенная техника и системы жизнеобеспечения","bachelor","16.00.00","ФИЗИКО-ТЕХНИЧЕСКИЕ НАУКИ И ТЕХНОЛОГИИ"
"17.03.01","Корабельное вооружение","bachelor","17.00.00","ОРУЖИЕ И СИСТЕМЫ ВООРУЖЕНИЯ"
"18.03.01","Химическая технология","bachelor","18.00.00","ХИМИЧЕСКИЕ ТЕХНОЛОГИИ"
"18.03.02","Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии","bachelor","18.00.00","ХИМИЧЕСКИЕ ТЕХНОЛОГИИ"
"19.03.01","Биотехнология","bachelor","19.00.00","ПРОМЫШЛЕННАЯ ЭКОЛОГИЯ И БИОТЕХНОЛОГИИ"
"19.03.02","Продукты питания из растительного сырья","bachelor","19.00.00","ПРОМЫШЛЕННАЯ ЭКОЛОГИЯ И БИОТЕХНОЛОГИИ"
"19.03.03","Продукты питания животного происхождения","bachelor","19.00.00","ПРОМЫШЛЕННАЯ ЭКОЛОГИЯ И БИОТЕХНОЛОГИИ"
"19.03.04","Технология продукции и организация общественного питания","bachelor","19.00.00","ПРОМЫШЛЕННАЯ ЭКОЛОГИЯ И БИОТЕХНОЛОГИИ"
"20.03.01","Техносферная безопасность","bachelor","20.00.00","ТЕХНОСФЕРНАЯ БЕЗОПАСНОСТЬ И ПРИРОДООБУСТРОЙСТВО"
"20.03.02","Природообустройство и водопользование","bachelor","20.00.00","ТЕХНОСФЕРНАЯ БЕЗОПАСНОСТЬ И ПРИРОДООБУСТРОЙСТВО"
"21.03.01","Нефтегазовое дело","bachelor","21.00.00","ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ"
"21.03.02","Землеустройство и кадастры","bachelor","21.00.00","ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ"
"21.03.03","Геодезия и дистанционное зондирование","bachelor","21.00.00","ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ"
"22.03.01","Материаловедение и технологии материалов","bachelor","22.00.00","ТЕХНОЛОГИИ МАТЕРИАЛОВ"
"22.03.02","Металлургия","bachelor","22.00.00","ТЕХНОЛОГИИ МАТЕРИАЛОВ"
"23.03.01","Технология транспортных процессов","bachelor","23.00.00","ТЕХНИКА И ТЕХНОЛОГИИ НАЗЕМНОГО ТРАНСПОРТА"
"23.03.02","Наземные транспортно-технологические комплексы","bachelor","23.00.00","ТЕХНИКА И ТЕХНОЛОГИИ НАЗЕМНОГО ТРАНСПОРТА"
"23.03.03","Эксплуатация транспортно-технологических машин и комплексов","bachelor","23.00.00","ТЕХНИКА И ТЕХНОЛОГИИ НАЗЕМНОГО ТРАНСПОРТА"
"24.03.01","Ракетные комплексы и космонавтика","bachelor","24.00.00","АВИАЦИОННАЯ И РАКЕТНО-КОСМИЧЕСКАЯ ТЕХНИКА"
"24.03.02","Системы управления движением и навигация","bachelor","24.00.00","АВИАЦИОННАЯ И РАКЕТНО-КОСМИЧЕСКАЯ ТЕХНИКА"
"24.03.03","Баллистика и гидроаэродинамика","bachelor","24.00.00","АВИАЦИОННАЯ И РАКЕТНО-КОСМИЧЕСКАЯ ТЕХНИКА"
"24.03.04","Авиастроение","bachelor","24.00.00","АВИАЦИОННАЯ И РАКЕТНО-КОСМИЧЕСКАЯ ТЕХНИКА"
"24.03.05","Двигатели летательных аппаратов","bachelor","24.00.00","АВИАЦИОННАЯ И РАКЕТНО-КОСМИЧЕСКАЯ ТЕХНИКА"
"25.03.01","Техническая эксплуатация летательных аппаратов и двигателей","bachelor","25.00.00","АЭРОНАВИГАЦИЯ И ЭКСПЛУАТАЦИЯ АВИАЦИОННОЙ И РАКЕТНО-КОСМИЧЕСКОЙ ТЕХНИКИ"
"25.03.02","Техническая эксплуатация авиационных электросистем и пилотажно-навигационных комплексов","bachelor","25.00.00","АЭРОНАВИГАЦИЯ И ЭКСПЛУАТАЦИЯ АВИАЦИОННОЙ И РАКЕТНО-КОСМИЧЕСКОЙ ТЕХНИКИ"
"25.03.03","Аэронавигация","bachelor","25.00.00","АЭРОНАВИГАЦИЯ И ЭКСПЛУАТАЦИЯ АВИАЦИОННОЙ И РАКЕТНО-КОСМИЧЕСКОЙ ТЕХНИКИ"
"25.03.04","Эксплуатация аэропортов и обеспечение полетов воздушных судов","bachelor","25.00.00","АЭРОНАВИГАЦИЯ И ЭКСПЛУАТАЦИЯ АВИАЦИОННОЙ И РАКЕТНО-КОСМИЧЕСКОЙ ТЕХНИКИ"
"26.03.01","Управление водным транспортом и гидрографическое обеспечение судоходства","bachelor","26.00.00","ТЕХНИКА И ТЕХНОЛОГИИ КОРАБЛЕСТРОЕНИЯ И ВОДНОГО ТРАНСПОРТА"
"26.03.02","Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры","bachelor","26.00.00","ТЕХНИКА И ТЕХНОЛОГИИ КОРАБЛЕСТРОЕНИЯ И ВОДНОГО ТРАНСПОРТА"
"26.03.03","Водные пути, порты и гидротехнические сооружения","bachelor","26.00.00","ТЕХНИКА И ТЕХНОЛОГИИ КОРАБЛЕСТРОЕНИЯ И ВОДНОГО ТРАНСПОРТА"
"26.03.04","Инженерно-экономическое обеспечение технологий и бизнес-процессов водного транспорта","bachelor","26.00.00","ТЕХНИКА И ТЕХНОЛОГИИ КОРАБЛЕСТРОЕНИЯ И ВОДНОГО ТРАНСПОРТА"
"27.03.01","Стандартизация и метрология","bachelor","27.00.00","УПРАВЛЕНИЕ В ТЕХНИЧЕСКИХ СИСТЕМАХ"
"27.03.02","Управление качеством","bachelor","27.00.00","УПРАВЛЕНИЕ В ТЕХНИЧЕСКИХ СИСТЕМАХ"
