Коды укрупненных групп специальностей.	Наименования укрупненных групп специальностей. Наименования специальностей	Квалификация(и) специалиста среднего звена	
22.00.00	ТЕХНОЛОГИИ МАТЕРИАЛОВ		
22.02.2001	Металлургия черных металлов	Техник	
		Специалист по металлургии черных металлов	
22.02.2002	Металлургия цветных металлов	Техник	
		Специалист по металлургии цветных металлов	
22.02.2003	Литейное производство черных и цветных металлов	Техник	
		Специалист по литейному производству	
22.02.2004	Металловедение и термическая обработка металлов	Техник	
		Специалист по термической обработке металлов	
22.02.2005	Обработка металлов давлением	Техник	
		Специалист по обработке металлов давлением	
22.02.2006	Сварочное производство	Техник	
		Специалист сварочного производства	
22.02.2007	"Порошковая металлургия, композиционные материалы, покрытия"	Техник	
		Специалист по порошковой металлургии	
